"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"WealthPerception.nlogo"
"econ-dyn-sigma"
"12/13/2025 19:32:11:507 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","mu","sigma","taxrate","efficiency","wealth_change?","network_change?","tax_change?","minimal_degree","rewiring_frequency","efficiency_only_expected?","tax_change_increment","stop_tick","link_creation","wealth_generation","link_removal","layout?","network_generation","quantile_fit","mass_simulation_speedup?","time_lag","wealth_diff_type","N","homophily_strength","all_know_mean_wealth?","friends_of_friends_first?","[step]","gini [wealth] of turtles","wealth_fraction_top [wealth] of turtles 0.1","wealth_fraction_bottom [wealth] of turtles 0.5","wealth_fraction_mid40 [wealth] of turtles","tail_exponent","immobility_top20","long_term_growth_factor"
"47","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.15928763196577878","0.1648064005765935","0.38914027591269673","0.4460533235107094","5.694229279133722","0.715","1.0093126980546459"
"42","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.15990762835398398","0.1628267364772872","0.3888635822536308","0.44830968126908277","7.346008038384131","0.735","1.00926442875314"
"44","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16597752880404792","0.16585949315111215","0.38337493920161353","0.450765567647274","6.0394252034380616","0.73","1.0095339963776648"
"43","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16558012090462104","0.16612817247435424","0.38425160834732225","0.449620219178324","6.782294256606283","0.77","1.0092549549259897"
"46","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.15486931595596332","0.159923182176307","0.39136280617670693","0.4487140116469864","7.208340361403204","0.725","1.0094456235891391"
"45","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.15920208763771493","0.16169358872880146","0.38854846999796294","0.4497579412732356","6.604393763108599","0.725","1.0091789531310758"
"48","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16570432052831463","0.16945519103268444","0.3851951287485132","0.44534968021880134","5.586763313411544","0.745","1.0093848829506533"
"49","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1622466663039468","0.16288336901377978","0.3864706894936351","0.4506459414925837","6.240408529372876","0.745","1.0092642420436868"
"50","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1635208901995151","0.1654417941715098","0.3863904642158676","0.448167741612623","6.861267586724901","0.735","1.009231816306796"
"51","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1645318067870134","0.1634810019313498","0.384126800972158","0.45239219709649264","6.339055299783676","0.695","1.009431992713346"
"52","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1586316835895678","0.16323115145987632","0.38929693964951323","0.4474719088906083","6.659593153691233","0.67","1.0091542498113322"
"53","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1725550095138817","0.1648783863556626","0.37761720080280553","0.45750441284153204","7.022659189647968","0.71","1.0092721579054824"
"54","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16481585319940417","0.16411658794106077","0.3849507863093802","0.450932625749559","6.991583593622455","0.71","1.0092371375480547"
"55","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16318222611337752","0.1675816710454158","0.38643337490792695","0.4459849540466569","5.490903841074268","0.7","1.0093661037158423"
"57","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1599192172473889","0.16186754692541","0.3881511253585188","0.4499813277160693","6.138427984148013","0.72","1.0092376559530702"
"59","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1638241198333581","0.1674698038784027","0.3863085256312316","0.44622167049036354","6.080626701262079","0.74","1.0093578799183966"
"56","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.15776954642339502","0.16300255407500025","0.3904472211115488","0.4465502248134505","6.322059174040161","0.705","1.009355251972802"
"60","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16311645244225437","0.1666444679306925","0.3873573499773282","0.44599818209198006","5.767914459489931","0.72","1.0090546186717786"
"58","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16591240518278072","0.16595854806978041","0.3837798895674178","0.450261562362802","6.121031873888889","0.71","1.0094294672457205"
"61","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1669316192629744","0.16899586959901264","0.3845544100572915","0.4464497203436959","5.761857390805237","0.735","1.0093309190983988"
"63","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.17331795829563812","0.17189648168350188","0.37991435204208707","0.44818916627441074","5.915785357535795","0.745","1.009567719757516"
"62","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1586891162081201","0.15989445822126047","0.3887796892401594","0.45132585253857993","7.359257881786179","0.72","1.008981849272725"
"65","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16637697336412116","0.16769131001997692","0.38466168490646635","0.44764700507355754","6.045081399399471","0.725","1.0094877735538432"
"68","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16354852812538279","0.1635327607534918","0.38492723541228524","0.4515400038342216","7.1831437076275755","0.72","1.0093966817441538"
"64","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16516625191187528","0.1647885022580205","0.38426995373421247","0.4509415440077674","6.188985902024598","0.685","1.0093067716540174"
"67","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16647528169103953","0.16770649772216759","0.3839351399982396","0.44835836227959297","5.948648140503835","0.73","1.009503972936668"
"66","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16874106577252812","0.17146783043358757","0.3831739801976432","0.4453581893687686","4.9032312655619785","0.72","1.0094445790939308"
"69","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16009204118231568","0.1636384265336826","0.38827056249182834","0.4480910109744873","5.671362458384107","0.7","1.0093211416437646"
"71","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16449285395679447","0.16659087441399795","0.3849472990246713","0.4484618265613293","5.587874214194407","0.725","1.0093756414837312"
"70","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16854750014858677","0.16792231279658734","0.38358837860733547","0.44848930859607816","5.928574469532447","0.735","1.009355925300601"
"73","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16618406236051086","0.16627384819648164","0.38394285203404693","0.44978329976947107","6.608390524592167","0.7","1.0092790403010048"
"72","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16373341263914765","0.16509783276485634","0.3861414034756134","0.44876076375953233","5.617964216013268","0.75","1.0093997151321161"
"74","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16568237650398943","0.1654407424826668","0.3846091947079442","0.44995006280938865","6.949933333327708","0.71","1.0092687871412487"
"75","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16496866413736022","0.16665878451058666","0.38537090543506","0.4479703100543516","6.063612403715412","0.715","1.0094384231605555"
"79","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16485623238403369","0.16705386732765426","0.3850775778435757","0.44786855482877225","6.127192384778039","0.715","1.0094072184934757"
"76","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16037192786563947","0.16420741124577534","0.38764353400273377","0.44814905475148986","6.699036046315872","0.77","1.0093245435122693"
"77","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16231915334696811","0.16484505067091237","0.3862453431826763","0.44890960614641245","6.320826749988645","0.765","1.0093173247914748"
"78","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1617873574993911","0.16115287078133073","0.38567396044890356","0.45317316876976654","6.9299638275275655","0.715","1.00943141988139"
"80","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16322775555261448","0.16552686147994988","0.38654936558172526","0.44792377293832514","5.6162051586721216","0.7","1.0091913760225575"
"82","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16841554206124476","0.16703446175348105","0.38285251514660895","0.4501130230999102","6.409949249089773","0.75","1.0095633056173048"
