"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"WealthPerception.nlogo"
"gatsby"
"12/14/2025 14:51:12:458 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","sigma","taxrate","wealth_change?","network_change?","tax_change?","minimal_degree","rewiring_frequency","efficiency","efficiency_only_expected?","tax_change_increment","stop_tick","link_creation","wealth_generation","link_removal","layout?","network_generation","quantile_fit","mass_simulation_speedup?","time_lag","wealth_diff_type","mu","N","homophily_strength","all_know_mean_wealth?","friends_of_friends_first?","[step]","gini [wealth] of turtles","immobility_top20","immobility_bottom20","long_term_growth_factor"
"55","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.20294108058885318","0.795","0.73","1.0098230016759062"
"59","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19809932517652973","0.775","0.74","1.009640925544243"
"60","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.1999604080554609","0.76","0.75","1.0097223658893235"
"62","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.1952585694952642","0.79","0.695","1.0095454389407184"
"61","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19431668121240886","0.755","0.71","1.0096217773651566"
"66","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19880729948455178","0.77","0.69","1.0095436947242087"
"63","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.20354640309551852","0.77","0.745","1.009606495550002"
"65","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19896544937855465","0.78","0.72","1.0095421324336165"
"64","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.20377099198207493","0.785","0.73","1.0097264942525521"
"67","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.1975567165070391","0.76","0.73","1.009646308952018"
"68","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.1886427474724981","0.76","0.735","1.0096929623831072"
"71","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.20484105562654453","0.78","0.725","1.0095812494383753"
"69","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19691737835092993","0.775","0.705","1.0094330718314113"
"70","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.20067277380835224","0.78","0.705","1.0095084737437379"
"72","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2022080254582339","0.775","0.73","1.0095767526620347"
"73","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19932967945137992","0.79","0.7","1.0093550173546642"
"74","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19863557876165827","0.755","0.705","1.0096819348869877"
"75","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.20490885514605073","0.785","0.72","1.0096247540398722"
"76","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19543808802829332","0.775","0.705","1.0095719664432672"
"79","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19682881931387053","0.805","0.76","1.0096387272349745"
"78","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2019535254682021","0.775","0.69","1.0094419405295127"
"77","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.1932981345666649","0.735","0.735","1.009515750925002"
"80","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19673073295152865","0.78","0.735","1.0094599196848635"
"81","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19292670968401526","0.775","0.72","1.0095383617510858"
"82","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19991325944198435","0.74","0.755","1.0095567225498991"
"83","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19311162278042215","0.75","0.695","1.0095262450446576"
"86","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.201840855200611","0.79","0.72","1.0095935928282846"
"84","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.1981741887570052","0.775","0.71","1.0095018246431684"
"85","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.1940785207400617","0.76","0.705","1.0096336874905019"
"87","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19186341236574767","0.76","0.705","1.009492723509597"
