"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"WealthPerception.nlogo"
"econ growth efficiency tax"
"12/13/2025 20:35:09:361 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","taxrate","efficiency","mu","sigma","wealth_change?","network_change?","tax_change?","mass_simulation_speedup?","rewiring_frequency","efficiency_only_expected?","minimal_degree","tax_change_increment","stop_tick","link_creation","time_lag","quantile_fit","wealth_diff_type","wealth_generation","network_generation","link_removal","layout?","N","homophily_strength","all_know_mean_wealth?","friends_of_friends_first?","[step]","long_term_growth_factor","tail_exponent","total_gini","wealth_share_top10","wealth_share_top1","immobility_top20","immobility_quint2","immobility_quint3","immobility_quint4","immobility_bottom20","fraction_perceived_below_real_mean","for_more_tax","for_less_tax","fraction_below_perceived_mean","fraction_below_mean","abs_wealth_diff","log_wealth_assortativity"
"26","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0120964509721542","0.49659902236557013","0.9879401138721631","0.9920071778839529","0.8672214617608077","0.85","0.685","0.7","0.72","0.86","0.916","0.834","0.166","0.837","0.958","1.7472621044179026","0.006909439020070036"
"27","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0023463449400036","0.682088995831595","0.9566050670133974","0.9497064131780066","0.6215479900330791","0.885","0.69","0.63","0.7","0.88","0.798","0.81","0.19","0.82","0.911","1.6931305020653968","0.005289111981869692"
"28","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0037908580830068","0.6123837973329651","0.9605245518517296","0.9568612868987698","0.653113270529714","0.85","0.68","0.635","0.7","0.895","0.783","0.799","0.201","0.81","0.926","1.683583606921829","-0.008842099556312169"
"29","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0062780654572479","0.5176678396423028","0.9717272323965696","0.9784182974909988","0.7134360610110234","0.855","0.68","0.67","0.695","0.85","0.811","0.833","0.167","0.835","0.931","1.7114380214482856","0.006927488329163778"
"35","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0045297721571587","0.5988282768429196","0.964454075601918","0.9650848298076611","0.6820040290189309","0.89","0.705","0.635","0.69","0.875","0.812","0.818","0.182","0.824","0.921","1.7441643119064196","-0.01613671508083853"
"32","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0075374495414746","0.6730647816653779","0.9822276367028362","0.9793815660345001","0.8628188401680771","0.885","0.685","0.615","0.68","0.875","0.928","0.816","0.184","0.824","0.953","1.710728735503135","-0.004216264002472345"
"31","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0130550006004573","0.5481342316468089","0.9912099026247372","0.9922942111035857","0.9150064994559441","0.89","0.68","0.665","0.73","0.855","0.922","0.803","0.197","0.815","0.97","1.7765116168734931","-0.006266764400581516"
"34","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.004549501482377","0.6415787243887267","0.9638366895396984","0.9618043696878255","0.662402511778925","0.88","0.685","0.67","0.755","0.905","0.788","0.82","0.18","0.824","0.919","1.7806149399373459","-0.003961169533869797"
"33","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0033283163878655","0.667973571719458","0.9522711759772393","0.9472669870844472","0.5783260625042336","0.905","0.7","0.62","0.675","0.855","0.76","0.81","0.19","0.816","0.906","1.711069932585625","9.380809920073553E-4"
"37","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0042917708279568","0.6585060470930008","0.9613029453139081","0.9585380380888829","0.6746400814384712","0.865","0.7","0.69","0.705","0.845","0.835","0.816","0.184","0.824","0.912","1.7592830864141447","-0.0049343589880327075"
"36","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0020057738785904","0.5756489038372257","0.953204313898192","0.954891149861438","0.5335301415224595","0.88","0.66","0.585","0.695","0.89","0.742","0.827","0.173","0.841","0.917","1.6977806091991965","-0.0027873970776409658"
"42","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.011229779852471","0.5428550985346668","0.9880239151522447","0.9903385033996539","0.8762583445698138","0.89","0.715","0.635","0.715","0.9","0.891","0.836","0.164","0.84","0.96","1.7537074970746642","-0.017049858534805413"
"41","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0034418815842896","0.6433610346100475","0.958260099429034","0.9521336220116415","0.6298854146715219","0.835","0.65","0.67","0.73","0.885","0.789","0.807","0.193","0.814","0.923","1.7368067324739422","-0.0034415320718290785"
"38","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0071969582005225","0.658552554776447","0.9761700608148058","0.9745450776037874","0.8072811290163026","0.87","0.7","0.645","0.66","0.85","0.872","0.826","0.174","0.829","0.95","1.7498137639612013","-0.009872334582611171"
"40","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.005202034676459","0.5743504976657963","0.9674865028188686","0.9685853605909097","0.6540755322697277","0.885","0.725","0.67","0.69","0.865","0.754","0.816","0.184","0.823","0.938","1.7414366190060961","-9.482225684622442E-5"
"39","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0048512130875284","0.6383877798481004","0.9722053851244377","0.9720092460328762","0.7489810992427374","0.855","0.725","0.7","0.7","0.865","0.855","0.807","0.193","0.816","0.94","1.6863344102491298","-0.006827120488152997"
"43","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.006545756627132","0.5935517810992393","0.9768760496696287","0.9786767230661219","0.7945795965216843","0.895","0.715","0.625","0.68","0.87","0.841","0.824","0.176","0.832","0.947","1.694198403051379","-0.006993947818641202"
